Titre de l'image,Sujets,0,1,2,3,4,5,6,7,8
tt3144098.jpg,"['j', '“', 'nothing', 'save', 'heri', 'le', '\\', 'sd', 'sence', 'yvun', 'cho', 'mitme', 'theaters']",joule,plexus,nothing,save,lupus_erythematosus,,,,
tt1992156.jpg,"['cuatoo', 'vapors']",blues,,,,,,,,
tt2324012.jpg,[],,,,,,,,,
tt1807944.jpg,[],,,,,,,,,
tt2545338.jpg,"['retort', 'trouble', 'water', '‘', 'ways', 'stick']",eater,rejoinder,trouble,water,billion,ways,,,
tt1690953.jpg,[],,,,,,,,,
tt2084989.jpg,[],,,,,,,,,
tt2709606.jpg,['hd'],,,,,,,,,
tt2495118.jpg,[],,,,,,,,,
tt1605791.jpg,[],,,,,,,,,
tt2622130.jpg,[],,,,,,,,,
tt1487931.jpg,"['vd', 'wat', 'venturel']",ale,venereal_disease,one,ten,,,,,
tt1596753.jpg,"['soi', 'amsco', 'cima', 'ser', '§', 'es', 'se', '|', 'salinger', '|', 'l', 'swab', 'beb']",five,einsteinium,,,,,,,
tt2344678.jpg,[],,,,,,,,,
tt2187884.jpg,[],,,,,,,,,
tt1602613.jpg,"['oninzcomrorgives', 'jure', '—']",,,,,,,,,
tt1702439.jpg,[],,,,,,,,,
tt2717558.jpg,[],,,,,,,,,
tt2436516.jpg,"['lm', 'es', 'treo', 'ae']",lumen,einsteinium,,,,,,,
tt0481499.jpg,[],,,,,,,,,
tt2431286.jpg,"['id', 'judi', 'dench', 'coogan']",Idaho,,,,,,,,
tt2545088.jpg,[],,,,,,,,,
tt2294677.jpg,[],,,,,,,,,
tt2276023.jpg,[],,,,,,,,,
tt2193215.jpg,['counselor'],counselor,October,twenty-five,,,,,,
tt1551630.jpg,"['ene', 'chuls', '‘', 'anioe', 'esokas', 'faris', 'iran', 'ane', 'mr', 'lotta', 'amen', 'sons', 'whitaker']",east_northeast,park,Iran,one,,,,,
tt1091191.jpg,[],,,,,,,,,
tt1731141.jpg,[],,,,,,,,,
tt1650554.jpg,[],,,,,,,,,
tt2226417.jpg,[],,,,,,,,,
tt1480295.jpg,"['es', 'sern']",einsteinium,,,,,,,,
tt2250032.jpg,"['jewel', 'thieves', 'gripping', '”']",jewel,thief,pe,intrigue,grip,,,,
tt1821549.jpg,"['id', '“', 'otl', 'dla', 'ei', 'june', 'stac', 'bob', 'tan', 'iia', '‘']",Idaho,Nebraska,June,,,,,,
tt2246724.jpg,"['———', 'en']",en,,,,,,,,
tt1691917.jpg,[],,,,,,,,,
tt2178470.jpg,[],,,,,,,,,
tt1322269.jpg,[],,,,,,,,,
tt2112124.jpg,[],,,,,,,,,
tt2419284.jpg,"['vintage', 'century', 'inthe', 'yar', 'drogen', 'obsession', 'sud', 'russell', 'crowe']",vintage,century,red,compulsion,Russell,,,,
tt2364949.jpg,[],,,,,,,,,
tt1735279.jpg,[],,,,,,,,,
tt1650393.jpg,['sedaris'],,,,,,,,,
tt1992193.jpg,"[""pandoras'promise"", '—']",,,,,,,,,
tt2371834.jpg,[],,,,,,,,,
tt2119463.jpg,[],,,,,,,,,
tt2515086.jpg,[],,,,,,,,,
tt1029231.jpg,"['te', 'arg', 'ae']",tellurium,,,,,,,,
tt2489734.jpg,"['muhammad', 'ali', 'kartemquin', 'mm']",Muhammad,Ali,one,millimeter,,,,,
tt1483013.jpg,[],,,,,,,,,
tt0837559.jpg,"['|s', 'lan', '|', 'anon', 'eh', 'approach', 'ng', 'midnight', 'love', 'country']",brand,local_area_network,ale,anon,approach,,,,
tt1311071.jpg,"['kill', 'darlings']",killing,darling,,,,,,,
tt1638364.jpg,"['les', ']']",lupus_erythematosus,Oklahoma,,,,,,,
tt2002718.jpg,[],,,,,,,,,
tt3041534.jpg,[],,,,,,,,,
tt2390361.jpg,[],,,,,,,,,
tt1272878.jpg,"['washington', 'wahlberg']",Washington,,,,,,,,
tt2739338.jpg,[],,,,,,,,,
tt2213054.jpg,[],,,,,,,,,
tt0770828.jpg,[],,,,,,,,,
tt1714206.jpg,[],,,,,,,,,
tt2017038.jpg,"['“', 'dazzling', 'robert', 'redford', 'lost']",dazzle,Robert,Redford,one,doomed,,,,
tt2304771.jpg,['mandela'],Mandela,,,,,,,,
tt2481246.jpg,['caucus'],caucus,,,,,,,,
tt1758795.jpg,[],,,,,,,,,
tt1754811.jpg,['tanjequaliopportunityioffender|'],,,,,,,,,
tt2806788.jpg,[],,,,,,,,,
tt1425922.jpg,['thanksgivi'],,,,,,,,,
tt2103267.jpg,"['“', 'watts', 'robin-wwright', 'adore']",intrigue,provocative,Watts,adore,,,,,
tt2282662.jpg,[],,,,,,,,,
tt1833673.jpg,[],,,,,,,,,
tt2356180.jpg,[],,,,,,,,,
tt1817276.jpg,[],,,,,,,,,
tt2820820.jpg,"['rug', 'war', 'desl', 'vo']",rug,war,,,,,,,
tt2027064.jpg,[],,,,,,,,,
tt2169322.jpg,[],,,,,,,,,
tt2024544.jpg,[],,,,,,,,,
tt2404463.jpg,[],,,,,,,,,
tt1663662.jpg,[],,,,,,,,,
tt3086582.jpg,"['times', 'vg']",bantam,times,two,,,,,,
tt1206543.jpg,[],,,,,,,,,
tt1211956.jpg,[],,,,,,,,,
tt1700845.jpg,[],,,,,,,,,
tt2896952.jpg,[],,,,,,,,,
tt1858776.jpg,['rockbarnes'],,,,,,,,,
tt1941541.jpg,[],,,,,,,,,
tt2312890.jpg,['acca'],,,,,,,,,
tt2132285.jpg,[],,,,,,,,,
tt2640474.jpg,"['end', 'time']",end,time,,,,,,,
tt2476154.jpg,[],,,,,,,,,
tt2265398.jpg,"['ow', 'ke', 'uddies', 'buddies']",buddy,,,,,,,,
tt2024432.jpg,"['*', '<', 'baz', 'ae']",,,,,,,,,
tt2222206.jpg,"['mr', 'walterson', 'exploration', 'galvin', 'hobbes']",beloved,Mister,exploration,Hobbes,,,,,
tt2532528.jpg,[],,,,,,,,,
tt2195548.jpg,"['nd', 'emile', 'hrsg', 'prince', 'avalanche']",neodymium,Emile,prince,avalanche,,,,,
tt1204975.jpg,"['douglas', 'kline', 'vee', 'vegas', '’']",Douglas,electrical_engineering,Kline,Vega,departure,legendary,,,
tt0790628.jpg,"['c.2', 'aisi', 'ais', 'ea', 'bem', '—']",Army_Intelligence,Ea,,,,,,,
tt2553908.jpg,[],,,,,,,,,
tt1684548.jpg,[],,,,,,,,,
tt2377398.jpg,[],,,,,,,,,
tt1874513.jpg,"['god', 'b', 'eioagie']",God,love,Uganda,bacillus,,,,,
tt2007360.jpg,"['aly', 'ton', 'deci', 'hum', 'fobs', 'hata', 'apres']",short_ton,busyness,fob,,,,,,
tt2887322.jpg,"['saaartov', 'approach', 'ab', 'ducternsom', 'ep']",approach,Bachelor_of_Arts,deliver,,,,,,
tt2130282.jpg,[],,,,,,,,,
tt2378281.jpg,"['eugenio', 'derbez']",,,,,,,,,
tt2404461.jpg,[],,,,,,,,,
tt1280725.jpg,"['”', 'america', 'family', 'film']",say,one,United_States,brainsick,family,fifteen,,,
tt1245492.jpg,[],,,,,,,,,
tt2654562.jpg,[],,,,,,,,,
tt2884170.jpg,[],,,,,,,,,
tt1670345.jpg,[],,,,,,,,,
tt1327773.jpg,"['eens', 'sition', 'lee', 'daniels', 'butler', 'danny', 'ctrong', 'bit']",Lee,fit,Daniel,butler,write,eight,,,
tt1758595.jpg,[],,,,,,,,,
tt2357129.jpg,[],,,,,,,,,
tt2636522.jpg,"['unbelievers', 'believe®']",disbeliever,volition,,,,,,,
tt2450186.jpg,[],,,,,,,,,
tt2243389.jpg,[],,,,,,,,,
tt1814621.jpg,[],,,,,,,,,
tt2430104.jpg,"['lion', 'bee']",one,lion,personal,bee,,,,,
tt2301155.jpg,[],,,,,,,,,
tt2736254.jpg,[],,,,,,,,,
tt0993846.jpg,[],,,,,,,,,
tt2765340.jpg,['fitch'],polecat,,,,,,,,
tt0882977.jpg,[],,,,,,,,,
tt2167056.jpg,[],,,,,,,,,
tt2205904.jpg,"['generation', 'ir', 'afiuley', 'vlad', 'yudin', 'g', 'tw', 'theaters', 'wm']",coevals,iridium,gram,theater,September,twenty,,,
tt2033981.jpg,"['vht', 'trourer', 'aol']",,,,,,,,,
tt2070852.jpg,"['®', 'house']",happy,house,,,,,,,
tt2677816.jpg,['uv'],ultraviolet,,,,,,,,
tt1800241.jpg,"['ate', 'cddfea', 'nonin', 'uilbacnce', 'everyone', 'huser', 'junie', 'hustle']",Ate,five,,,,,,,
tt2349460.jpg,"['grace', 'ii', 'ign', 'oho']",grace,two,see,,,,,,
tt1824254.jpg,[],,,,,,,,,
tt2278871.jpg,[],,,,,,,,,
tt1797487.jpg,[],,,,,,,,,
tt2294629.jpg,[],,,,,,,,,
tt2406676.jpg,[],,,,,,,,,
tt2393813.jpg,['graceland'],,,,,,,,,
tt2334879.jpg,"['tatum', 'foxx']",Tatum,,,,,,,,
tt2224317.jpg,[],,,,,,,,,
tt0816442.jpg,[],,,,,,,,,
tt1854564.jpg,[],,,,,,,,,
tt2140373.jpg,"['bey', 'banks']",bey,economy,Banks,,,,,,
tt3463312.jpg,[],,,,,,,,,
tt2278668.jpg,[],,,,,,,,,
tt1986998.jpg,[],,,,,,,,,
tt2913948.jpg,[],,,,,,,,,
tt2218003.jpg,[],,,,,,,,,
tt2172935.jpg,['wever'],,,,,,,,,
tt2345112.jpg,"['rg', 'metar', 'abw', 'wh', 'chit', 'parkland']",roentgenium,chit,park,,,,,,
tt3043630.jpg,[],,,,,,,,,
tt2018086.jpg,['dumont'],,,,,,,,,
tt2357926.jpg,[],,,,,,,,,
tt2009606.jpg,[],,,,,,,,,
tt1986769.jpg,[],,,,,,,,,
tt2761118.jpg,[],,,,,,,,,
tt1723121.jpg,[],,,,,,,,,
tt2191701.jpg,[],,,,,,,,,
tt2828840.jpg,[],,,,,,,,,
tt1572315.jpg,"['>', 'texas', '’']",Texas,three-D,,,,,,,
tt1430132.jpg,"['“', 'fears', 'botella']",electrical_engineering,thirty-five,four,approach,soon,fear,,,
tt2402163.jpg,"['lock', 'stock', 'tick', 'tock']",lock,stock,tick,,,,,,
tt2334649.jpg,"['sg', 'ay', 'tee', 'megs', 'ea', 'ant', '“', 'earth']",seaborgium,inert,tee,million,wee,Ea,,,
tt2339379.jpg,"['visit', 'www.affrm.com', 'information']",visit,information,,,,,,,
tt2859246.jpg,[],,,,,,,,,
tt2966934.jpg,['og'],seven,five,,,,,,,
tt2674040.jpg,[],,,,,,,,,
tt2872570.jpg,[],,,,,,,,,
tt2015381.jpg,[],,,,,,,,,
tt3549508.jpg,['ee'],electrical_engineering,,,,,,,,
tt2298394.jpg,['nipple'],free,nipple,,,,,,,
tt2707858.jpg,"['rerreniney', '”', 'guillalmegallenne', 'weessaintaurent']",,,,,,,,,
tt1291150.jpg,[],,,,,,,,,
tt2355495.jpg,[],,,,,,,,,
tt4137324.jpg,[],,,,,,,,,
tt2975578.jpg,[],,,,,,,,,
tt2652092.jpg,[],,,,,,,,,
tt3398876.jpg,"['restoration', '%', '%']",Restoration,Eden,,,,,,,
tt3569356.jpg,[],,,,,,,,,
tt1647668.jpg,[],,,,,,,,,
tt3302962.jpg,[],,,,,,,,,
tt2473794.jpg,[],,,,,,,,,
tt3419894.jpg,[],,,,,,,,,
tt1877832.jpg,[],,,,,,,,,
tt3532608.jpg,[],,,,,,,,,
tt1777595.jpg,[],,,,,,,,,
tt2140383.jpg,"['everything', 'cabanon', 'dias', 'jason', 'secel']",delete,Dias,Jason,,,,,,
tt1972779.jpg,"['scone', 'mess', 'mi', 'monit', 'musas', 'wl', 'mc', 'horr', 'host', 'intheatersoctomer']",scone,mess,myocardial_infarction,Musa,en,megahertz,host,,
tt3704538.jpg,[],,,,,,,,,
tt1872194.jpg,['judge'],judge,,,,,,,,
tt3163908.jpg,[],,,,,,,,,
tt2096672.jpg,[],,,,,,,,,
tt3072636.jpg,[],,,,,,,,,
tt2049589.jpg,"['watchers', 'sky']",spectator,four,sky,,,,,,
tt3110272.jpg,[],,,,,,,,,
tt2582802.jpg,"['aining', 'k.', 'simmons']",Ives,whiplash,,,,,,,
tt3612616.jpg,"['heart', 'swelling', 'piece', 'cinema']",heart,swelling,breathless,piece,film,,,,
tt2528814.jpg,[],,,,,,,,,
tt1490017.jpg,[],,,,,,,,,
